Depth 	 PHIT 	 BVO 	 Pd1 	 Pd2 	 	 G1 	 G2 	 BV1 	 BV2 	 Perm
8560.0 	 0.24 	 0.0 	 144.0 	 650 	 	 0.14 	 0.1 	 22.0 	 0 	 1.27
8560.5 	 0.24 	 0.0 	 153.0 	 650 	 	 0.14 	 0.1 	 23.0 	 0 	 1.64
8561.0 	 0.24 	 0.0 	 156.0 	 650 	 	 0.14 	 0.1 	 23.2 	 0 	 2.21
8561.5 	 0.24 	 0.0 	 156.0 	 650 	 	 0.14 	 0.1 	 23.3 	 0 	 2.55
8562.0 	 0.24 	 0.0 	 151.0 	 650 	 	 0.14 	 0.1 	 22.7 	 0 	 2.42
8562.5 	 0.24 	 0.0 	 163.0 	 650 	 	 0.13 	 0.1 	 24.0 	 0 	 2.29
8563.0 	 0.24 	 0.0 	 157.0 	 650 	 	 0.14 	 0.1 	 23.4 	 0 	 2.51
8563.5 	 0.25 	 0.0 	 150.0 	 650 	 	 0.15 	 0.1 	 24.9 	 0 	 2.73
8564.0 	 0.25 	 0.0 	 131.0 	 650 	 	 0.17 	 0.1 	 28.4 	 0 	 3.72
8564.5 	 0.25 	 0.0 	 118.0 	 650 	 	 0.18 	 0.1 	 28.5 	 0 	 4.81
8565.0 	 0.25 	 0.0 	 142.0 	 650 	 	 0.15 	 0.1 	 24.7 	 0 	 2.76
8565.5 	 0.25 	 0.0 	 120.0 	 650 	 	 0.18 	 0.1 	 28.6 	 0 	 4.35
8566.0 	 0.25 	 0.0 	 112.0 	 650 	 	 0.19 	 0.1 	 28.7 	 0 	 5.27
8566.5 	 0.27 	 0.0 	 91.0 	 650 	 	 0.27 	 0.1 	 31.8 	 0 	 5.99
8567.0 	 0.25 	 0.0 	 111.0 	 650 	 	 0.19 	 0.1 	 28.7 	 0 	 5.43
8567.5 	 0.25 	 0.0 	 115.0 	 650 	 	 0.18 	 0.1 	 28.6 	 0 	 4.93
8568.0 	 0.25 	 0.0 	 131.0 	 650 	 	 0.17 	 0.1 	 28.5 	 0 	 3.53
8568.5 	 0.25 	 0.0 	 146.0 	 650 	 	 0.15 	 0.1 	 25.0 	 0 	 2.13
8569.0 	 0.27 	 0.0 	 117.0 	 650 	 	 0.24 	 0.1 	 30.8 	 0 	 2.29
8569.5 	 0.27 	 0.0 	 116.0 	 650 	 	 0.24 	 0.1 	 30.8 	 0 	 2.44
8570.0 	 0.27 	 0.0 	 112.0 	 650 	 	 0.24 	 0.1 	 31.0 	 0 	 2.84
8570.5 	 0.26 	 0.0 	 111.0 	 650 	 	 0.24 	 0.1 	 31.0 	 0 	 3.23
8571.0 	 0.26 	 0.0 	 112.0 	 650 	 	 0.24 	 0.1 	 31.0 	 0 	 3.19
8571.5 	 0.27 	 0.0 	 107.0 	 650 	 	 0.25 	 0.1 	 31.1 	 0 	 3.16
8572.0 	 0.27 	 0.0 	 99.0 	 650 	 	 0.25 	 0.1 	 31.4 	 0 	 3.15
8572.5 	 0.27 	 0.0 	 100.0 	 650 	 	 0.25 	 0.1 	 31.4 	 0 	 3.08
8573.0 	 0.26 	 0.0 	 115.0 	 650 	 	 0.24 	 0.1 	 30.8 	 0 	 2.89
8573.5 	 0.26 	 0.0 	 135.0 	 650 	 	 0.17 	 0.1 	 28.5 	 0 	 2.82
8574.0 	 0.27 	 0.0 	 106.0 	 650 	 	 0.25 	 0.1 	 31.2 	 0 	 2.98
8574.5 	 0.27 	 0.0 	 105.0 	 650 	 	 0.25 	 0.1 	 31.2 	 0 	 3.15
8575.0 	 0.27 	 0.0 	 106.0 	 650 	 	 0.25 	 0.1 	 31.2 	 0 	 3.03
8575.5 	 0.27 	 0.0 	 107.0 	 650 	 	 0.25 	 0.1 	 31.1 	 0 	 2.92
8576.0 	 0.26 	 0.0 	 138.0 	 650 	 	 0.17 	 0.1 	 28.5 	 0 	 2.63
8576.5 	 0.25 	 0.0 	 142.0 	 650 	 	 0.16 	 0.1 	 28.3 	 0 	 2.69
8577.0 	 0.25 	 0.0 	 146.0 	 650 	 	 0.15 	 0.1 	 24.9 	 0 	 2.5
8577.5 	 0.25 	 0.0 	 142.0 	 650 	 	 0.15 	 0.1 	 24.7 	 0 	 2.76
8578.0 	 0.25 	 0.0 	 147.0 	 650 	 	 0.15 	 0.1 	 24.9 	 0 	 2.66
8578.5 	 0.25 	 0.0 	 150.0 	 650 	 	 0.15 	 0.1 	 25.0 	 0 	 2.51
8579.0 	 0.25 	 0.0 	 150.0 	 650 	 	 0.15 	 0.1 	 25.0 	 0 	 2.26
8579.5 	 0.25 	 0.0 	 149.0 	 650 	 	 0.15 	 0.1 	 25.0 	 0 	 2.37
8580.0 	 0.25 	 0.0 	 143.0 	 650 	 	 0.15 	 0.1 	 24.8 	 0 	 2.73
8580.5 	 0.25 	 0.0 	 141.0 	 650 	 	 0.16 	 0.1 	 28.3 	 0 	 2.76
8581.0 	 0.26 	 0.0 	 158.0 	 650 	 	 0.14 	 0.1 	 27.7 	 0 	 1.84
8581.5 	 0.27 	 0.0 	 117.0 	 650 	 	 0.24 	 0.1 	 30.8 	 0 	 1.77
8582.0 	 0.26 	 0.0 	 136.0 	 650 	 	 0.17 	 0.1 	 28.5 	 0 	 2.77
8582.5 	 0.26 	 0.0 	 126.0 	 650 	 	 0.17 	 0.1 	 28.6 	 0 	 3.52
8583.0 	 0.26 	 0.0 	 134.0 	 650 	 	 0.17 	 0.1 	 28.5 	 0 	 2.86
8583.5 	 0.26 	 0.0 	 139.0 	 650 	 	 0.15 	 0.1 	 24.8 	 0 	 2.2
8584.0 	 0.26 	 0.0 	 126.0 	 650 	 	 0.17 	 0.1 	 28.8 	 0 	 2.1
8584.5 	 0.27 	 0.0 	 112.0 	 650 	 	 0.24 	 0.1 	 31.0 	 0 	 2.29
8585.0 	 0.27 	 0.0 	 114.0 	 650 	 	 0.24 	 0.1 	 30.9 	 0 	 2.21
8585.5 	 0.26 	 0.0 	 140.0 	 650 	 	 0.15 	 0.1 	 24.8 	 0 	 2.13
8586.0 	 0.25 	 0.0 	 147.0 	 650 	 	 0.15 	 0.1 	 25.0 	 0 	 2.27
8586.5 	 0.25 	 0.0 	 147.0 	 650 	 	 0.15 	 0.1 	 25.0 	 0 	 2.25
8587.0 	 0.25 	 0.0 	 147.0 	 650 	 	 0.15 	 0.1 	 24.9 	 0 	 2.51
8587.5 	 0.25 	 0.0 	 166.0 	 650 	 	 0.13 	 0.1 	 27.5 	 0 	 1.67
8588.0 	 0.25 	 0.0 	 166.0 	 650 	 	 0.13 	 0.1 	 27.5 	 0 	 1.67
8588.5 	 0.25 	 0.0 	 165.0 	 650 	 	 0.14 	 0.1 	 27.5 	 0 	 1.61
8589.0 	 0.25 	 0.0 	 162.0 	 650 	 	 0.14 	 0.1 	 27.5 	 0 	 1.45
8589.5 	 0.24 	 0.0 	 150.0 	 650 	 	 0.14 	 0.1 	 22.7 	 0 	 1.29
8590.0 	 0.24 	 0.0 	 151.0 	 650 	 	 0.14 	 0.1 	 22.8 	 0 	 1.26
8590.5 	 0.24 	 0.0 	 143.0 	 650 	 	 0.14 	 0.1 	 22.0 	 0 	 1.24
8591.0 	 0.24 	 0.0 	 148.0 	 650 	 	 0.14 	 0.1 	 22.5 	 0 	 1.42
8591.5 	 0.23 	 0.0 	 38.0 	 650 	 	 0.22 	 0.1 	 16.1 	 0 	 5.6
8592.0 	 0.22 	 0.0 	 133.0 	 650 	 	 0.21 	 0.1 	 22.8 	 0 	 1.61
8592.5 	 0.21 	 0.0 	 138.0 	 650 	 	 0.22 	 0.1 	 22.8 	 0 	 1.51
8593.0 	 0.21 	 0.0 	 150.0 	 650 	 	 0.24 	 0.1 	 22.8 	 0 	 1.25
8593.5 	 0.21 	 0.0 	 172.0 	 650 	 	 0.24 	 0.1 	 23.0 	 0 	 0.99
8594.0 	 0.22 	 0.0 	 166.0 	 650 	 	 0.23 	 0.1 	 23.0 	 0 	 1.12
8594.5 	 0.23 	 0.0 	 173.0 	 650 	 	 0.19 	 0.1 	 24.5 	 0 	 1.1
8595.0 	 0.23 	 0.0 	 178.0 	 650 	 	 0.17 	 0.1 	 25.2 	 0 	 1.18
8595.5 	 0.23 	 0.0 	 178.0 	 650 	 	 0.17 	 0.1 	 25.2 	 0 	 1.15
8596.0 	 0.23 	 0.0 	 178.0 	 650 	 	 0.17 	 0.1 	 25.2 	 0 	 1.14
8596.5 	 0.24 	 0.0 	 178.0 	 650 	 	 0.17 	 0.1 	 25.3 	 0 	 1.14
8597.0 	 0.24 	 0.0 	 165.0 	 650 	 	 0.13 	 0.1 	 24.3 	 0 	 1.65
8597.5 	 0.24 	 0.0 	 173.0 	 650 	 	 0.13 	 0.1 	 25.1 	 0 	 2.2
8598.0 	 0.25 	 0.0 	 145.0 	 650 	 	 0.15 	 0.1 	 24.8 	 0 	 2.77
8598.5 	 0.25 	 0.0 	 143.0 	 650 	 	 0.16 	 0.1 	 28.3 	 0 	 3.02
8599.0 	 0.25 	 0.0 	 148.0 	 650 	 	 0.15 	 0.1 	 24.9 	 0 	 2.62
8599.5 	 0.24 	 0.0 	 182.0 	 650 	 	 0.13 	 0.1 	 26.1 	 0 	 2.19
8600.0 	 0.24 	 0.0 	 143.0 	 650 	 	 0.14 	 0.1 	 22.0 	 0 	 1.71
8600.5 	 0.22 	 0.0 	 201.0 	 650 	 	 0.27 	 0.1 	 23.2 	 0 	 0.78
8601.0 	 0.21 	 0.0 	 166.0 	 650 	 	 0.26 	 0.1 	 22.9 	 0 	 1.2
8601.5 	 0.2 	 0.0 	 176.0 	 650 	 	 0.25 	 0.1 	 22.2 	 0 	 1.28
8602.0 	 0.16 	 0.0 	 165.0 	 650 	 	 0.14 	 0.1 	 18.9 	 0 	 1.16
8602.5 	 0.14 	 0.0 	 134.0 	 650 	 	 0.28 	 0.1 	 15.9 	 0 	 0.98
8603.0 	 0.12 	 0.0 	 77.0 	 650 	 	 0.41 	 0.1 	 14.2 	 0 	 0.75
8603.5 	 0.11 	 0.0 	 78.0 	 650 	 	 0.42 	 0.1 	 14.2 	 0 	 0.51
8604.0 	 0.1 	 0.0 	 66.0 	 650 	 	 0.37 	 0.1 	 11.5 	 0 	 0.47
8604.5 	 0.09 	 0.0 	 334.0 	 650 	 	 0.27 	 0.1 	 9.1 	 0 	 0.41
8605.0 	 0.07 	 0.0 	 495.0 	 650 	 	 2.13 	 0.1 	 14.4 	 0 	 0.08
8605.5 	 0.09 	 0.0 	 500.0 	 650 	 	 0.3 	 0.1 	 8.5 	 0 	 0.24
8606.0 	 0.1 	 0.0 	 462.0 	 650 	 	 0.44 	 0.1 	 10.1 	 0 	 0.23
8606.5 	 0.11 	 0.0 	 291.0 	 650 	 	 0.45 	 0.1 	 14.7 	 0 	 0.21
8607.0 	 0.12 	 0.0 	 205.0 	 650 	 	 0.3 	 0.1 	 16.4 	 0 	 0.2
8607.5 	 0.13 	 0.0 	 207.0 	 650 	 	 0.3 	 0.1 	 16.4 	 0 	 0.19
8608.0 	 0.14 	 0.0 	 220.0 	 650 	 	 0.3 	 0.1 	 16.4 	 0 	 0.17
8608.5 	 0.16 	 0.0 	 215.0 	 650 	 	 0.28 	 0.1 	 16.4 	 0 	 0.16
8609.0 	 0.16 	 0.0 	 215.0 	 650 	 	 0.28 	 0.1 	 16.4 	 0 	 0.15
8609.5 	 0.16 	 0.0 	 219.0 	 650 	 	 0.28 	 0.1 	 16.4 	 0 	 0.13
8610.0 	 0.16 	 0.0 	 215.0 	 650 	 	 0.28 	 0.1 	 16.4 	 0 	 0.15
8610.5 	 0.16 	 0.0 	 211.0 	 650 	 	 0.28 	 0.1 	 16.4 	 0 	 0.17
8611.0 	 0.16 	 0.0 	 211.0 	 650 	 	 0.27 	 0.1 	 16.4 	 0 	 0.17
8611.5 	 0.16 	 0.0 	 210.0 	 650 	 	 0.27 	 0.1 	 16.4 	 0 	 0.18
